"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month","Neutral.Endorsements","Yes.Endorsements","No.Endorsements"
"Paul Spencer","AR","U.S. House Arkansas District 2","Representative","Lost","None",12.55,"White","No","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",5,11,0,1
"Joshua Mahony","AR","U.S. House Arkansas District 3","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral",5,11,1,0
"Hayden Shamel","AR","U.S. House Arkansas District 4","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",5,12,0,0
"Brianna Westbrook","AZ","U.S. House Arizona District 8","Representative","Lost","None",39.720001,"White","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral",2,10,2,0
"Hiral Tipirneni","AZ","U.S. House Arizona District 8","Representative","Advanced","None",60.220001,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral",2,10,0,2
"Akinyemi Agbede","CA","Governor of California","Governor","Lost","None",0.22,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Albert Caesar Mezzetti","CA","Governor of California","Governor","Lost","None",0.28,"White","Yes","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Amanda Renteria","CA","Governor of California","Governor","Lost","None",2.1500001,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Antonio Villaraigosa","CA","Governor of California","Governor","Lost","None",21.290001,"Nonwhite","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Delaine Eastin","CA","Governor of California","Governor","Lost","None",5.4000001,"White","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,2,0
"Gavin Newsom","CA","Governor of California","Governor","Advanced","None",53.869999,"White","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,1,1
"John Chiang","CA","Governor of California","Governor","Lost","None",15.08,"Nonwhite","No","No","Yes","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,1,1
"Juan Bribiesca","CA","Governor of California","Governor","Lost","None",0.40000001,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Klement Tinaj","CA","Governor of California","Governor","Lost","None",0.12,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Michael Shellenberger","CA","Governor of California","Governor","Lost","None",0.73000002,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Robert Davidson Griffis","CA","Governor of California","Governor","Lost","None",0.25999999,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Thomas Jefferson Cares","CA","Governor of California","Governor","Lost","None",0.20999999,"White","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Audrey Denney","CA","U.S. House California District 1","Representative","Advanced","None",43.650002,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Yes","Neutral","No","Neutral","Neutral","Neutral",6,9,2,1
"David Peterson","CA","U.S. House California District 1","Representative","Lost","None",7.3000002,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,9,0,3
"Jessica Holcombe","CA","U.S. House California District 1","Representative","Lost","None",28.540001,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,9,0,3
"Marty Walters","CA","U.S. House California District 1","Representative","Lost","None",20.51,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Yes","Neutral","Neutral","Neutral",6,9,1,2
"Dotty Nygard","CA","U.S. House California District 10","Representative","Lost","None",1.89,"White","No","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Yes","Yes","Neutral","No","Neutral","Neutral","Neutral",6,7,2,3
"Josh Harder","CA","U.S. House California District 10","Representative","Advanced","None",35.57,"White","No","No","No","No","Yes","No","Yes","No","Yes","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,7,1,4
"Michael Eggman","CA","U.S. House California District 10","Representative","Lost","None",21.34,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,7,0,5
"Mike Barkley","CA","U.S. House California District 10","Representative","Lost","None",4.98,"White","Yes","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,7,0,5
"Sue Zwahlen","CA","U.S. House California District 10","Representative","Lost","None",17.049999,"White","No","No","Yes","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,7,0,5
"Virginia Madueno","CA","U.S. House California District 10","Representative","Lost","None",19.17,"Nonwhite","No","No","Yes","No","No","No","No","Yes","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Yes","Neutral","Neutral","Neutral",6,7,3,2
"TJ Cox","CA","U.S. House California District 21","Representative","Advanced","None",100,"Nonwhite","No","No","No","No","Yes","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,11,0,1
"Andrew Janz","CA","U.S. House California District 22","Representative","Advanced","None",78.830002,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Bobby Bliatout","CA","U.S. House California District 22","Representative","Lost","None",12.26,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Ricardo Franco","CA","U.S. House California District 22","Representative","Lost","None",8.9099998,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Kurtis Wilson","CA","U.S. House California District 23","Representative","Lost","None",4.8400002,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Mary Helen Barro","CA","U.S. House California District 23","Representative","Lost","None",18.200001,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Tatiana Matta","CA","U.S. House California District 23","Representative","Advanced","None",42.720001,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Wendy Reed","CA","U.S. House California District 23","Representative","Lost","None",34.25,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Bryan Caforio","CA","U.S. House California District 25","Representative","Lost","None",38.259998,"White","No","No","No","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral",6,8,2,2
"Jess Phoenix","CA","U.S. House California District 25","Representative","Lost","None",13.24,"White","No","No","No","No","Yes","No","No","No","Yes","Neutral","Neutral","Neutral","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral",6,8,2,2
"Katie Hill","CA","U.S. House California District 25","Representative","Advanced","None",42.970001,"White","No","Yes","No","No","No","No","Yes","Yes","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral",6,8,2,2
"Mary Pallant","CA","U.S. House California District 25","Representative","Lost","None",5.54,"White","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral",6,9,0,3
"Andy Thorburn","CA","U.S. House California District 39","Representative","Lost","None",20.440001,"White","No","No","No","Yes","No","No","No","No","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","No","Neutral","No","Neutral",6,7,2,3
