,Candidate,State,Primary..,Neutral.Endorsements,Yes.Endorsements,No.Endorsements,Office.Type_Governor,Office.Type_Representative,Office.Type_Senator,Primary.Status_Advanced,Race_Nonwhite,Race_Unknown,Race_White,Veteran._No,Veteran._Unknown,Veteran._Yes,LGBTQ._No,LGBTQ._Unknown,LGBTQ._Yes,Elected.Official._Yes,Self.Funder._Yes,STEM._No,STEM._Unknown,STEM._Yes,Obama.Alum._Yes,Party.Support._Neutral,Party.Support._No,Party.Support._Yes
42,Marty Walters,CA,20.51,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
43,Dotty Nygard,CA,1.89,7,2,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
44,Josh Harder,CA,35.57,7,1,4,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
45,Michael Eggman,CA,21.34,7,0,5,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
46,Mike Barkley,CA,4.98,7,0,5,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
47,Sue Zwahlen,CA,17.049999,7,0,5,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
48,Virginia Madueno,CA,19.17,7,3,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
49,TJ Cox,CA,100.0,11,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
50,Andrew Janz,CA,78.83000200000001,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
51,Bobby Bliatout,CA,12.26,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
52,Ricardo Franco,CA,8.909999800000001,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
53,Kurtis Wilson,CA,4.8400002,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
54,Mary Helen Barro,CA,18.200001,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
55,Tatiana Matta,CA,42.720001,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
56,Wendy Reed,CA,34.25,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
57,Bryan Caforio,CA,38.259997999999996,8,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
58,Jess Phoenix,CA,13.24,8,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59,Katie Hill,CA,42.970001,8,2,2,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
60,Mary Pallant,CA,5.54,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
61,Andy Thorburn,CA,20.440001000000002,7,2,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
62,Gil Cisneros,CA,43.23,7,2,3,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
63,Herbert Lee,CA,9.4200001,7,0,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
64,Mai Khanh Tran,CA,11.69,7,2,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
65,Sam Jammal,CA,11.98,7,2,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
66,Suzi Park Leggett,CA,3.24,7,0,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
67,Jessica Morse,CA,49.099998,8,2,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
68,Regina Bateson,CA,30.07,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
69,Robert Lawton,CA,5.25,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
70,Roza Calderon,CA,15.57,8,3,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
71,Julia Peacock,CA,76.019997,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
72,Norman Quintero,CA,23.98,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
73,Brian Forde,CA,13.06,7,1,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
74,Dave Min,CA,38.740002000000004,7,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
75,Katie Porter,CA,44.040001000000004,7,5,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
76,Kia Hamadanchy,CA,4.150000100000001,7,2,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
77,Deanie Schaarsmith,CA,1.79,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
78,Hans Keirstead,CA,37.439999,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
79,Harley Rouda,CA,37.599998,8,2,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
80,Laura Oatman,CA,3.01,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
81,Michael Kotick,CA,3.26,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
82,Omar Siddiqui,CA,10.81,8,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
83,Rachel Payne,CA,4.4899998,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
84,Tony Zarkades,CA,1.6,8,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
