"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month"
"Joshua Mahony","AR","U.S. House Arkansas District 3","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","5"
"Hayden Shamel","AR","U.S. House Arkansas District 4","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Brianna Westbrook","AZ","U.S. House Arizona District 8","Representative","Lost","None",39.720001,"White","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","2"
"Hiral Tipirneni","AZ","U.S. House Arizona District 8","Representative","Advanced","None",60.220001,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","2"
"Akinyemi Agbede","CA","Governor of California","Governor","Lost","None",0.22,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Albert Caesar Mezzetti","CA","Governor of California","Governor","Lost","None",0.28,"White","Yes","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Amanda Renteria","CA","Governor of California","Governor","Lost","None",2.1500001,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Antonio Villaraigosa","CA","Governor of California","Governor","Lost","None",21.290001,"Nonwhite","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Delaine Eastin","CA","Governor of California","Governor","Lost","None",5.4000001,"White","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Gavin Newsom","CA","Governor of California","Governor","Advanced","None",53.869999,"White","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"John Chiang","CA","Governor of California","Governor","Lost","None",15.08,"Nonwhite","No","No","Yes","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Juan Bribiesca","CA","Governor of California","Governor","Lost","None",0.40000001,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Klement Tinaj","CA","Governor of California","Governor","Lost","None",0.12,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Michael Shellenberger","CA","Governor of California","Governor","Lost","None",0.73000002,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Robert Davidson Griffis","CA","Governor of California","Governor","Lost","None",0.25999999,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Thomas Jefferson Cares","CA","Governor of California","Governor","Lost","None",0.20999999,"White","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Audrey Denney","CA","U.S. House California District 1","Representative","Advanced","None",43.650002,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Yes","Neutral","No","Neutral","Neutral","Neutral","6"
"David Peterson","CA","U.S. House California District 1","Representative","Lost","None",7.3000002,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Jessica Holcombe","CA","U.S. House California District 1","Representative","Lost","None",28.540001,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Marty Walters","CA","U.S. House California District 1","Representative","Lost","None",20.51,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Yes","Neutral","Neutral","Neutral","6"
"Dotty Nygard","CA","U.S. House California District 10","Representative","Lost","None",1.89,"White","No","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Yes","Yes","Neutral","No","Neutral","Neutral","Neutral","6"
"Josh Harder","CA","U.S. House California District 10","Representative","Advanced","None",35.57,"White","No","No","No","No","Yes","No","Yes","No","Yes","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Michael Eggman","CA","U.S. House California District 10","Representative","Lost","None",21.34,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Mike Barkley","CA","U.S. House California District 10","Representative","Lost","None",4.98,"White","Yes","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Sue Zwahlen","CA","U.S. House California District 10","Representative","Lost","None",17.049999,"White","No","No","Yes","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Virginia Madueno","CA","U.S. House California District 10","Representative","Lost","None",19.17,"Nonwhite","No","No","Yes","No","No","No","No","Yes","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Yes","Neutral","Neutral","Neutral","6"
"TJ Cox","CA","U.S. House California District 21","Representative","Advanced","None",100,"Nonwhite","No","No","No","No","Yes","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Andrew Janz","CA","U.S. House California District 22","Representative","Advanced","None",78.830002,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Bobby Bliatout","CA","U.S. House California District 22","Representative","Lost","None",12.26,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Ricardo Franco","CA","U.S. House California District 22","Representative","Lost","None",8.9099998,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Kurtis Wilson","CA","U.S. House California District 23","Representative","Lost","None",4.8400002,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Mary Helen Barro","CA","U.S. House California District 23","Representative","Lost","None",18.200001,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Tatiana Matta","CA","U.S. House California District 23","Representative","Advanced","None",42.720001,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Wendy Reed","CA","U.S. House California District 23","Representative","Lost","None",34.25,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Bryan Caforio","CA","U.S. House California District 25","Representative","Lost","None",38.259998,"White","No","No","No","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Jess Phoenix","CA","U.S. House California District 25","Representative","Lost","None",13.24,"White","No","No","No","No","Yes","No","No","No","Yes","Neutral","Neutral","Neutral","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Katie Hill","CA","U.S. House California District 25","Representative","Advanced","None",42.970001,"White","No","Yes","No","No","No","No","Yes","Yes","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Mary Pallant","CA","U.S. House California District 25","Representative","Lost","None",5.54,"White","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Andy Thorburn","CA","U.S. House California District 39","Representative","Lost","None",20.440001,"White","No","No","No","Yes","No","No","No","No","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","No","Neutral","No","Neutral","6"
"Gil Cisneros","CA","U.S. House California District 39","Representative","Advanced","None",43.23,"Nonwhite","Yes","No","No","Yes","No","No","Yes","No","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","Yes","Neutral","6"
"Herbert Lee","CA","U.S. House California District 39","Representative","Lost","None",9.4200001,"Nonwhite","No","No","No","Yes","Yes","No","No","No","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","No","Neutral","6"
"Mai Khanh Tran","CA","U.S. House California District 39","Representative","Lost","None",11.69,"Nonwhite","No","No","No","Yes","Yes","No","No","Yes","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","No","Neutral","6"
"Sam Jammal","CA","U.S. House California District 39","Representative","Lost","None",11.98,"Nonwhite","No","No","No","No","No","Yes","No","No","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Yes","Neutral","No","Neutral","6"
"Suzi Park Leggett","CA","U.S. House California District 39","Representative","Lost","None",3.24,"Nonwhite","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","No","Neutral","6"
"Jessica Morse","CA","U.S. House California District 4","Representative","Advanced","None",49.099998,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Yes","Neutral","Neutral","Neutral","6"
"Regina Bateson","CA","U.S. House California District 4","Representative","Lost","None",30.07,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Robert Lawton","CA","U.S. House California District 4","Representative","Lost","None",5.25,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Roza Calderon","CA","U.S. House California District 4","Representative","Lost","None",15.57,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Yes","Neutral","No","Neutral","Neutral","Neutral","6"
"Julia Peacock","CA","U.S. House California District 42","Representative","Advanced","None",76.019997,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","6"
"Norman Quintero","CA","U.S. House California District 42","Representative","Lost","None",23.98,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","6"
"Brian Forde","CA","U.S. House California District 45","Representative","Lost","None",13.06,"White","No","No","No","No","Yes","Yes","No","No","Yes","Neutral","No","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","6"
"Dave Min","CA","U.S. House California District 45","Representative","Lost","None",38.740002,"Nonwhite","No","No","No","No","No","No","No","No","Yes","Neutral","No","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","6"
"Katie Porter","CA","U.S. House California District 45","Representative","Advanced","None",44.040001,"White","No","No","No","No","No","No","Yes","Yes","Yes","Neutral","Yes","Neutral","Yes","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","6"
"Kia Hamadanchy","CA","U.S. House California District 45","Representative","Lost","None",4.1500001,"Nonwhite","No","No","No","No","No","No","No","No","Yes","Neutral","No","Neutral","Yes","Neutral","No","Neutral","Neutral","Neutral","Neutral","6"
"Deanie Schaarsmith","CA","U.S. House California District 48","Representative","Lost","None",1.79,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Hans Keirstead","CA","U.S. House California District 48","Representative","Lost","None",37.439999,"White","No","No","No","Yes","Yes","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Harley Rouda","CA","U.S. House California District 48","Representative","Advanced","None",37.599998,"White","No","No","No","Yes","No","No","Yes","No","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","Yes","Neutral","Neutral","Neutral","6"
"Laura Oatman","CA","U.S. House California District 48","Representative","Lost","None",3.01,"White","No","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","No","Neutral","Neutral","Neutral","6"
