"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month"
"Darrel Miller","IL","U.S. House Illinois District 18","Representative","Lost","None",18.799999,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Junius Rodriguez","IL","U.S. House Illinois District 18","Representative","Advanced","None",41.700001,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Jesus Garcia","IL","U.S. House Illinois District 4","Representative","Advanced","None",66.199997,"Nonwhite","No","No","Yes","No","No","No","Neutral","No","Neutral","Neutral","Neutral","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Richard Gonzalez","IL","U.S. House Illinois District 4","Representative","Lost","None",11.9,"Nonwhite","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Sol Flores","IL","U.S. House Illinois District 4","Representative","Lost","None",21.9,"Nonwhite","No","No","No","No","No","No","Neutral","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Amanda Howland","IL","U.S. House Illinois District 6","Representative","Lost","None",12.7,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Becky Anderson Wilkins","IL","U.S. House Illinois District 6","Representative","Lost","None",6,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Carole Cheney","IL","U.S. House Illinois District 6","Representative","Lost","None",17.4,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Jennifer Zordani","IL","U.S. House Illinois District 6","Representative","Lost","None",4.0999999,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Kelly Mazeski","IL","U.S. House Illinois District 6","Representative","Lost","None",26.799999,"White","No","No","No","No","Yes","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Ryan Huffman","IL","U.S. House Illinois District 6","Representative","Lost","None",3.5,"White","No","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Sean Casten","IL","U.S. House Illinois District 6","Representative","Advanced","None",29.5,"White","No","No","No","Yes","Yes","No","Yes","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3"
"Douglas Carpenter","IN","U.S. House Indiana District 2","Representative","Lost","None",5.3000002,"White","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"John Petroff","IN","U.S. House Indiana District 2","Representative","Lost","None",1.5,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Mel Hall","IN","U.S. House Indiana District 2","Representative","Advanced","None",41.700001,"White","No","No","No","Yes","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Pat Hackett","IN","U.S. House Indiana District 2","Representative","Lost","None",28.200001,"White","No","Yes","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Roland Leech","IN","U.S. House Indiana District 2","Representative","Lost","None",1.2,"White","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Yatish Joshi","IN","U.S. House Indiana District 2","Representative","Lost","None",22.1,"Nonwhite","No","No","No","Yes","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Courtney Tritch","IN","U.S. House Indiana District 3","Representative","Advanced","None",79.099998,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"John Roberson","IN","U.S. House Indiana District 3","Representative","Lost","None",10.2,"Nonwhite","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Tommy Schrader","IN","U.S. House Indiana District 3","Representative","Lost","None",10.7,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Darin Patrick Griesey","IN","U.S. House Indiana District 4","Representative","Lost","None",6.6999998,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Joe Mackey","IN","U.S. House Indiana District 4","Representative","Lost","None",16.1,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Roger Day","IN","U.S. House Indiana District 4","Representative","Lost","None",12.4,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Roland Ellis","IN","U.S. House Indiana District 4","Representative","Lost","None",9.1999998,"White","Unknown","Unknown","No","No","Unknown","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Tobi Beck","IN","U.S. House Indiana District 4","Representative","Advanced","None",34.599998,"White","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Veronikka Ziol","IN","U.S. House Indiana District 4","Representative","Lost","None",21.1,"White","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Dee Thornton","IN","U.S. House Indiana District 5","Representative","Advanced","None",53,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Dion Douglas","IN","U.S. House Indiana District 5","Representative","Lost","None",10.3,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Eshel Faraggi","IN","U.S. House Indiana District 5","Representative","Lost","None",7.5999999,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Kyle Brenden Moore","IN","U.S. House Indiana District 5","Representative","Lost","None",23.700001,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Sean Dugdale","IN","U.S. House Indiana District 5","Representative","Lost","None",5.5,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"George Thomas Holland","IN","U.S. House Indiana District 6","Representative","Lost","None",11.1,"White","Yes","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Jeannine Lee Lake","IN","U.S. House Indiana District 6","Representative","Advanced","None",38.299999,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Jim Pruett","IN","U.S. House Indiana District 6","Representative","Lost","None",25.799999,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Joshua Williamson","IN","U.S. House Indiana District 6","Representative","Lost","None",7.3000002,"White","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"K. Lave","IN","U.S. House Indiana District 6","Representative","Lost","None",1.9,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Lane Siekman","IN","U.S. House Indiana District 6","Representative","Lost","None",15.6,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"William Tanoos","IN","U.S. House Indiana District 8","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Daniel Canon","IN","U.S. House Indiana District 9","Representative","Lost","None",30.700001,"White","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","No","Neutral","Neutral","Yes","No","Neutral","No","Neutral","Neutral","5"
"Liz Watson","IN","U.S. House Indiana District 9","Representative","Advanced","None",66.400002,"White","No","No","No","No","No","No","Neutral","Yes","Neutral","Neutral","Yes","Neutral","Neutral","No","Yes","Neutral","Yes","Neutral","Neutral","5"
"Rob Chatlos","IN","U.S. House Indiana District 9","Representative","Lost","None",2.9000001,"White","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","No","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","5"
"Arden Andersen","KS","Governor of Kansas","Governor","Lost","None",7.9000001,"White","Yes","No","No","No","Yes","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Carl Brewer","KS","Governor of Kansas","Governor","Lost","None",20.6,"Nonwhite","Yes","No","Yes","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Jack Bergeson","KS","Governor of Kansas","Governor","Lost","None",2.5999999,"White","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Joshua Svaty","KS","Governor of Kansas","Governor","Lost","None",17.799999,"White","No","No","No","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Laura Kelly","KS","Governor of Kansas","Governor","Advanced","None",51.400002,"White","No","No","Yes","No","No","No","Neutral","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Alan LaPolice","KS","U.S. House Kansas District 1","Representative","Advanced","None",100,"White","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Paul Davis","KS","U.S. House Kansas District 2","Representative","Advanced","None",100,"White","No","No","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Brent Welder","KS","U.S. House Kansas District 3","Representative","Lost","None",33.900002,"White","No","No","No","No","No","Yes","Neutral","No","Yes","Neutral","Neutral","Yes","Yes","Yes","Yes","No","Neutral","Neutral","Neutral","8"
"Jay Sidie","KS","U.S. House Kansas District 3","Representative","Lost","None",2.9000001,"White","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","No","No","No","No","No","Neutral","Neutral","Neutral","8"
"Mike McCamon","KS","U.S. House Kansas District 3","Representative","Lost","None",6.9000001,"White","No","No","No","No","Yes","No","Neutral","No","No","Neutral","Neutral","No","No","No","No","No","Neutral","Neutral","Neutral","8"
"Sharice Davids","KS","U.S. House Kansas District 3","Representative","Advanced","None",37.299999,"Nonwhite","No","Yes","No","No","No","No","Neutral","Yes","No","Neutral","Neutral","No","No","No","No","Yes","Neutral","Neutral","Neutral","8"
"Sylvia Williams","KS","U.S. House Kansas District 3","Representative","Lost","None",4.6999998,"White","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","No","No","No","No","No","Neutral","Neutral","Neutral","8"
"Tom Niermann","KS","U.S. House Kansas District 3","Representative","Lost","None",14.3,"White","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","No","No","No","No","Yes","Neutral","Neutral","Neutral","8"
"James Thompson","KS","U.S. House Kansas District 4","Representative","Advanced","None",65.300003,"White","Yes","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Yes","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Laura Lombard","KS","U.S. House Kansas District 4","Representative","Lost","None",34.700001,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Alonzo Pennington","KY","U.S. House Kentucky District 1","Representative","Lost","None",25.4,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","5"
"Paul Walker","KY","U.S. House Kentucky District 1","Representative","Advanced","None",74.599998,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","5"
"Brian Pedigo","KY","U.S. House Kentucky District 2","Representative","Lost","None",28.68,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Grant Short","KY","U.S. House Kentucky District 2","Representative","Lost","None",19.59,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Hank Linderman","KY","U.S. House Kentucky District 2","Representative","Advanced","None",30.02,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Rane Eir Olivia Sessions","KY","U.S. House Kentucky District 2","Representative","Lost","None",21.719999,"White","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Christina Lord","KY","U.S. House Kentucky District 4","Representative","Lost","None",21.709999,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Patti Piatt","KY","U.S. House Kentucky District 4","Representative","Lost","None",37.529999,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Seth Hall","KY","U.S. House Kentucky District 4","Representative","Advanced","None",40.77,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Kenneth Stepp","KY","U.S. House Kentucky District 5","Representative","Advanced","None",58.689999,"White","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Scott Sykes","KY","U.S. House Kentucky District 5","Representative","Lost","None",41.310001,"White","No","No","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Amy McGrath","KY","U.S. House Kentucky District 6","Representative","Advanced","None",48.66,"White","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","5"
"Daniel Kemph","KY","U.S. House Kentucky District 6","Representative","Lost","None",1.23,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","5"
"Geoff Young","KY","U.S. House Kentucky District 6","Representative","Lost","None",1.5700001,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Jim Gray","KY","U.S. House Kentucky District 6","Representative","Lost","None",40.509998,"White","No","Yes","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Reggie Thomas","KY","U.S. House Kentucky District 6","Representative","Lost","None",7.1999998,"Nonwhite","No","No","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","5"
"Theodore Green","KY","U.S. House Kentucky District 6","Representative","Lost","None",0.82999998,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","5"
"Alec Ross","MD","Governor of Maryland","Governor","Lost","None",2.3,"White","No","No","No","No","Yes","Yes","Neutral","No","Yes","Neutral","Neutral","No","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Ben Jealous","MD","Governor of Maryland","Governor","Advanced","None",39.599998,"Nonwhite","No","No","No","No","No","No","Neutral","No","Yes","Neutral","Neutral","Yes","Yes","Yes","Neutral","Neutral","Yes","Neutral","Neutral","6"
"James Jones","MD","Governor of Maryland","Governor","Lost","None",1.5,"Nonwhite","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","No","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Jim Shea (Maryland)","MD","Governor of Maryland","Governor","Lost","None",8.3000002,"White","No","No","No","Yes","No","No","Neutral","No","Yes","Neutral","Neutral","No","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Krishanti Vignarajah","MD","Governor of Maryland","Governor","Lost","None",8.1999998,"Nonwhite","No","No","No","No","No","Yes","Neutral","No","Yes","Neutral","Neutral","No","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Ralph Jaffe","MD","Governor of Maryland","Governor","Lost","None",1.6,"White","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","No","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Richard Madaleno","MD","Governor of Maryland","Governor","Lost","None",5.8000002,"White","No","Yes","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","No","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Rushern Baker III","MD","Governor of Maryland","Governor","Lost","None",29.4,"Nonwhite","No","No","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","No","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Allison Galbraith","MD","U.S. House Maryland District 1","Representative","Lost","None",28,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","6"
"Erik Lane","MD","U.S. House Maryland District 1","Representative","Lost","None",2.2,"White","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","6"
"Jesse Colvin","MD","U.S. House Maryland District 1","Representative","Advanced","None",38,"White","Yes","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","6"
"Michael Brown","MD","U.S. House Maryland District 1","Representative","Lost","None",15,"Unknown","Unknown","Unknown","No","No","Unknown","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","6"
"Michael Pullen","MD","U.S. House Maryland District 1","Representative","Lost","None",12.9,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","6"
"Steve Worton","MD","U.S. House Maryland District 1","Representative","Lost","None",3.9000001,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","6"
"Andrew Duck","MD","U.S. House Maryland District 6","Representative","Lost","None",4.9000001,"White","Yes","No","No","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Aruna Miller","MD","U.S. House Maryland District 6","Representative","Lost","None",30.700001,"Nonwhite","No","No","Yes","No","Yes","No","Neutral","Yes","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Chris Graves","MD","U.S. House Maryland District 6","Representative","Lost","None",1.6,"White","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Christopher Hearsey","MD","U.S. House Maryland District 6","Representative","Lost","None",0.89999998,"White","No","No","No","No","Yes","No","Neutral","No","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"David Trone","MD","U.S. House Maryland District 6","Representative","Advanced","None",40.299999,"White","No","No","No","Yes","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"George English","MD","U.S. House Maryland District 6","Representative","Lost","None",1.1,"White","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Nadia Hashimi","MD","U.S. House Maryland District 6","Representative","Lost","None",10.4,"Nonwhite","No","No","No","No","Yes","No","Neutral","No","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Roger Manno","MD","U.S. House Maryland District 6","Representative","Lost","None",10.3,"White","No","No","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Yes","Yes","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Adam Cote","ME","Governor of Maine","Governor","Lost","None",28.129999,"White","Yes","No","No","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Betsy Sweet","ME","Governor of Maine","Governor","Lost","None",16.459999,"White","No","Yes","No","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Diane Russell","ME","Governor of Maine","Governor","Lost","None",2.1600001,"White","No","No","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Donna Dion","ME","Governor of Maine","Governor","Lost","None",1.27,"White","No","No","No","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Janet T. Mills","ME","Governor of Maine","Governor","Advanced","None",33.09,"White","No","No","Yes","No","No","No","Neutral","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Mark Dion","ME","Governor of Maine","Governor","Lost","None",4.1199999,"White","No","No","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Mark Eves","ME","Governor of Maine","Governor","Lost","None",14.18,"White","No","No","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Craig Olson","ME","U.S. House Maine District 2","Representative","Lost","None",8.8299999,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","6"
"Jared Golden","ME","U.S. House Maine District 2","Representative","Advanced","None",46.419998,"Unknown","Yes","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","6"
"Lucas St. Clair","ME","U.S. House Maine District 2","Representative","Lost","None",39.240002,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","6"
"Zak Ringelstein","ME","U.S. Senate Maine","Senator","Advanced","None",100,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Abdul El-Sayed","MI","Governor of Michigan","Governor","Lost","None",30.5,"Nonwhite","No","No","No","No","Yes","No","Neutral","No","Yes","Neutral","Neutral","Yes","Yes","Yes","Yes","Neutral","Neutral","Neutral","Neutral","8"
"Gretchen Whitmer","MI","Governor of Michigan","Governor","Advanced","None",51.799999,"White","No","No","Yes","No","No","No","Neutral","Yes","Yes","Neutral","Neutral","No","No","No","No","Neutral","Neutral","Neutral","Neutral","8"
"Shri Thanedar","MI","Governor of Michigan","Governor","Lost","None",17.700001,"Nonwhite","No","No","No","Yes","Yes","No","Neutral","No","Yes","Neutral","Neutral","No","No","No","No","Neutral","Neutral","Neutral","Neutral","8"
"Frank Accavitti Jr.","MI","U.S. House Michigan District 10","Representative","Lost","None",32,"White","No","No","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Kimberly Bizon","MI","U.S. House Michigan District 10","Representative","Advanced","None",41.099998,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Michael McCarthy (Michigan)","MI","U.S. House Michigan District 10","Representative","Lost","None",26.9,"Unknown","Unknown","Unknown","No","No","Unknown","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Fayrouz Saad","MI","U.S. House Michigan District 11","Representative","Lost","None",19.5,"Nonwhite","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","8"
"Haley Stevens","MI","U.S. House Michigan District 11","Representative","Advanced","None",27,"White","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","8"
